"payloads","figures","figure_files","tables","table_files","build_errors","html","source","source_file","type","id","label","relative_path","format","placement","status","sidecar_files","errors","html_file","html_status","interactive_viewer_file","interactive_viewer_status","files","table_errors","qmd_file","Model","Active parameters","Bound hits","Lower hits","Upper hits","Movement parameters","Movement bound hits","Movement hit rate","Movement directions hit","Hit rate"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","tagging-dynamics","Tag reporting rates","figures/tagging-dynamics.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","total-biomass-with-without-fishing","Total biomass with and without fishing","figures/total-biomass-with-without-fishing.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","total-catch-fits","Total catch observed and fitted","figures/total-catch-fits.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","total-catch-residuals","Total catch residuals","figures/total-catch-residuals.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","table","fishery-names","Fishery names","tables/fishery-names.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","table","parameter-bound-hit-detail","Parameter bound hit detail","tables/parameter-bound-hit-detail.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","table","parameter-bound-hit-summary","Parameter bound hit summary","tables/parameter-bound-hit-summary.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","table","tag-reporting-groups","Tag reporting groups","tables/tag-reporting-groups.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,33,33,4,4,NA,NA,"mfclshiny_shiny_registry","j5b853cdee0a/outputs/mfclshiny-app-report-summary.csv",NA,NA,NA,NA,NA,NA,"ok",0,2,NA,"not_requested",NA,"not_requested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,33,NA,4,4,NA,NA,NA,"j5b853cdee0a/outputs/mfclshiny-report-summary.csv",NA,NA,NA,NA,NA,NA,"ok",0,2,NA,"not_requested",NA,NA,33,0,"mfclshiny-report-figures.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","catch-by-fishery-fits","Catch observed and fitted by fishery","figures/catch-by-fishery-fits.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","catch-by-fishery-residuals","Catch residuals by fishery","figures/catch-by-fishery-residuals.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","cpue-fits","CPUE observed and fitted","figures/cpue-fits.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","cpue-regional-share","CPUE regional share","figures/cpue-regional-share.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","cpue-residuals","CPUE residuals","figures/cpue-residuals.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","depletion-by-area","Depletion by area","figures/depletion-by-area.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","f-area-contribution","Area contribution to fishing mortality","figures/f-area-contribution.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","f-juvenile-adult-by-area","Juvenile and adult fishing mortality by area","figures/f-juvenile-adult-by-area.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","fishery-process","Fishery selectivity at age","figures/fishery-process.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","fishery-selectivity-length","Fishery selectivity at length","figures/fishery-selectivity-length.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","fishery-selectivity-weight","Fishery selectivity at weight","figures/fishery-selectivity-weight.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","growth-curve","Growth curve","figures/growth-curve.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","key-quantities","Key quantities","figures/key-quantities.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","kobe-plot","Kobe plot","figures/kobe-plot.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","length-frequency","Length-frequency fits","figures/length-frequency.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","length-frequency-residuals","Length-frequency residuals","figures/length-frequency-residuals.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","majuro-plot","Majuro plot","figures/majuro-plot.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","maturity-at-age","Maturity at age","figures/maturity-at-age.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","natural-mortality-at-age","Natural mortality at age","figures/natural-mortality-at-age.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","population-biology","Stock-recruitment relationship","figures/population-biology.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","recruitment-by-area","Recruitment by area","figures/recruitment-by-area.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","region-map","Region map","figures/region-map.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","regional-movement","Regional movement","figures/regional-movement.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","spawning-potential-with-without-fishing","Spawning potential with and without fishing","figures/spawning-potential-with-without-fishing.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","tag-attrition-all","Tag attrition","figures/tag-attrition-all.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","tag-attrition-by-program","Tag attrition by program","figures/tag-attrition-by-program.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","tag-attrition-by-region","Tag attrition by recapture region","figures/tag-attrition-by-region.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","tag-returns-all","Tag returns over time","figures/tag-returns-all.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","tag-returns-by-group","Tag returns by recapture group","figures/tag-returns-by-group.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","tagging-dynamics","Tag reporting rates","figures/tagging-dynamics.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","total-biomass-with-without-fishing","Total biomass with and without fishing","figures/total-biomass-with-without-fishing.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","total-catch-fits","Total catch observed and fitted","figures/total-catch-fits.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","figure","total-catch-residuals","Total catch residuals","figures/total-catch-residuals.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","table","fishery-names","Fishery names","tables/fishery-names.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
